Date,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG,FB,TWTR,NFLX,sp500
3/12/2014,76.658569,124.43,32.380001,26.950001,370.640015,186.220001,241.490005,601.395813,70.879997,54.5,62.368572,1868.199951
3/13/2014,75.807144,121.889999,32.349998,26.5,371.51001,183.899994,237.789993,592.309875,68.830002,53.57,61.437141,1846.339966
3/14/2014,74.955711,123.110001,32.490002,26.27,373.73999,182.210007,230.970001,584.210266,67.720001,51.919998,60.64143,1841.130005
3/17/2014,75.248573,125.419998,32.889999,26.610001,375.040009,185.809998,233.979996,593.824219,68.739998,52.049999,60.388573,1858.829956
3/18/2014,75.914284,124.040001,32.98,26.790001,378.769989,186.809998,240.039993,603.368408,69.190002,51.130001,60.035713,1872.25
3/19/2014,75.894287,122.239998,32.959999,26.58,373.230011,184.710007,235.839996,597.385864,68.239998,51.240002,60.012856,1860.77002
3/20/2014,75.528572,123.730003,34.09,26.379999,368.970001,187.899994,234.910004,596.344727,66.970001,50.119999,60.610001,1872.01001
3/21/2014,76.124283,122.580002,34.299999,26.18,360.619995,186.669998,228.889999,589.311096,67.239998,50.919998,57.998573,1866.52002
3/24/2014,77.027145,123.419998,34.459999,25.85,351.850006,188.25,220.169998,576.802979,64.099998,48.77,54.128571,1857.439941
3/25/2014,77.855713,124.019997,34.720001,25.610001,354.709991,195.039993,220.440002,577.196533,64.889999,47.880001,52.977142,1865.619995
3/26/2014,77.111427,123.529999,34.610001,24.969999,343.410004,192.619995,212.960007,563.87146,60.389999,44.43,53.182858,1852.560059
3/27/2014,76.779999,123.209999,34.959999,24.9,338.470001,189.830002,207.320007,556.930969,60.970001,46.32,52.025715,1849.040039
3/28/2014,76.694283,124.459999,35.07,24.879999,338.290009,190.449997,212.369995,558.456787,60.009998,47.299999,51.267143,1857.619995
3/31/2014,76.677139,125.489998,35.07,25.860001,336.369995,192.490005,208.449997,555.445007,60.240002,46.669998,50.290001,1872.339966
4/1/2014,77.378571,128.210007,35.09,26.530001,342.98999,194.5,216.970001,565.607117,62.619999,46.98,52.098572,1885.52002
4/2/2014,77.507141,128.309998,35.369999,26.700001,341.959991,193.550003,230.289993,565.447571,62.720001,45.73,51.84,1890.900024
4/3/2014,76.970001,128.779999,35.630001,26.25,333.619995,192.690002,225.399994,568.180054,59.490002,44.049999,50.669998,1888.77002
4/4/2014,75.974289,127.379997,35.549999,25.43,323,191.770004,212.229996,541.652893,56.75,43.139999,48.187141,1865.089966
4/7/2014,74.781425,125.589996,35.490002,23.92,317.76001,194.520004,207.520004,536.676575,56.950001,42.450001,48.285713,1845.040039
4/8/2014,74.777145,124.150002,35.27,24.459999,327.070007,193.289993,215.460007,553.380676,58.189999,41.779999,49.841427,1851.959961
